iter	RMSE
0	273.7020507
1	269.3900275
2	265.0008849
3	260.4371085
4	256.1183167
5	251.9191195
6	247.9032354
7	244.0107139
8	240.08039
9	236.3698129
10	233.1986243
11	230.0558973
12	227.3493282
13	224.3769319
14	221.4837323
15	218.7758581
16	215.9684193
17	212.9084875
18	210.0481615
19	206.8448364
20	204.2138567
21	201.4932193
22	199.1355558
23	196.8353267
24	194.4955677
25	192.3572811
26	190.2741809
27	187.9652645
28	185.9738696
29	183.9966239
30	182.0602579
31	179.8746476
32	178.0656605
33	176.4377778
34	174.6099085
35	172.8634669
36	171.1661636
37	169.7559561
38	168.1872442
39	166.7194653
40	165.3693905
41	163.9891777
42	162.5120429
43	161.0927683
44	159.7783366
45	158.4405636
46	157.2027907
47	155.748532
48	154.6791451
49	153.7058499
50	152.6901806
51	152.0014407
52	151.0740244
53	149.8671346
54	148.62322
55	147.8631912
56	146.885398
57	146.0353438
58	145.2156849
59	144.3648555
60	143.4293503
61	142.5291445
62	141.8773288
63	141.0953655
64	140.2693629
65	139.5358095
66	138.5980978
67	137.8831966
68	137.2095343
69	136.4439822
70	135.9322013
71	135.1866454
72	134.4851916
73	133.9792101
74	133.3299678
75	132.7736285
76	132.0133929
77	131.4264519
78	131.0333604
79	130.491655
80	130.0693697
81	129.4674937
82	128.9441722
83	128.328079
84	127.7613257
85	127.2367032
86	126.8104742
87	126.2745344
88	125.8878252
89	125.3638534
90	124.7545898
91	124.1787653
92	123.672366
93	123.3657751
94	122.9880403
95	122.6240596
96	122.1917955
97	121.8033809
98	121.5158466
99	121.081654
100	120.755261
101	120.2671085
102	119.7437565
103	119.3120238
104	119.0254148
105	118.8222225
106	118.4911557
107	117.9834728
108	117.6869876
109	117.3500775
110	117.0761821
111	116.7136989
112	116.4213027
113	116.1919971
114	115.880377
115	115.4181401
116	115.0055203
117	114.7139829
118	114.2995621
119	113.842529
120	113.5655829
121	113.3307767
122	112.8394756
123	112.4471735
124	112.0692429
125	111.6205261
126	111.4776546
127	111.0419546
128	110.7304243
129	110.5851328
130	110.27702
131	109.9243096
132	109.4339938
133	109.1141694
134	108.7472403
135	108.4598791
136	108.1723325
137	107.9204667
138	107.7168172
139	107.4743996
140	107.1701982
141	106.8371036
142	106.5488816
143	106.1696363
144	105.9487734
145	105.7693268
146	105.5560532
147	105.3056659
148	105.0609942
149	104.7337383
150	104.5132195
151	104.4450703
152	104.0946466
153	103.85157
154	103.6571409
155	103.2790281
156	102.7771636
157	102.6165687
158	102.449949
159	102.2372371
160	101.9206612
161	101.6149269
162	101.2297595
163	100.9530208
164	100.7143014
165	100.5059759
166	100.2249289
167	99.81623434
168	99.66687461
169	99.47565948
170	99.24595741
171	99.00273249
172	98.6657385
173	98.5696488
174	98.2855577
175	98.15252005
176	98.07690533
177	97.8061023
178	97.42470912
179	97.09221667
180	96.93379673
