단지코드,pred_기본,pred_자격유형x,real_Y,diff
C1032,980.180407874677,1044.8313389056987,316.0,64.65093103102163
C1672,1110.6404175660073,1060.9423112967484,873.0,49.698106269258915
C1005,1052.5564688342324,1013.0390507690917,376.0,39.51741806514076
C1885,711.7256900193696,707.7394673774422,616.0,3.986222641927384
C2000,950.3613498012905,868.3452943055004,795.0,82.01605549579017
C2032,863.8020075068274,853.323305655073,1162.0,10.478701851754408
C1579,900.1030604890594,852.9779416695322,1158.0,47.12511881952719
C1527,777.4253815075858,791.0804812513195,1150.0,13.655099743733672
C1386,984.497767466408,1000.4109496081529,1145.0,15.91318214174487
C1406,1311.4140428080257,1299.3243830104475,1350.0,12.089659797578179
C2460,852.738780435365,829.1260299722845,793.0,23.612750463080488
C1740,1238.7824042733878,1288.7333079181456,979.0,49.95090364475777
C1969,993.0168006636864,953.9113771766299,886.0,39.10542348705644
C2373,1045.7611604014135,1047.3339266778778,800.0,1.5727662764643355
C1649,942.3064616726205,1023.3602082730724,1214.0,81.05374660045197
C1933,1293.5644766161568,1296.687229865351,1730.0,3.1227532491941474
C2316,918.9804602911405,862.7537611877522,712.0,56.22669910338834
C2414,1174.927920009469,1169.676964217473,1200.0,5.250955791996148
C2612,1237.6521347058856,1254.855979094009,1832.0,17.203844388123343
C2595,1146.4137494426393,1105.1791937267963,1359.0,41.234555715843044
C1357,1126.3305482163637,1106.973051247236,995.0,19.357496969127624
C1068,791.1734765255086,779.451870692464,510.0,11.721605833044578
C2458,794.2342734522217,831.0716588069715,910.0,36.83738535474981
C2089,743.7383207535455,783.7233866110744,572.0,39.985065857528866
C1693,832.2314284059837,852.5972834833703,1087.0,20.36585507738664
C1911,946.9928209283554,942.5700342984107,831.0,4.422786629944653
C1236,1056.2927524965132,1069.2333460105758,657.0,12.940593514062584
C2070,854.4162853210217,867.3236348542184,735.0,12.90734953319668
C1365,909.3144967863457,998.8333243385903,945.0,89.5188275522446
C2488,1079.3560431909557,1175.919515386497,1023.0,96.56347219554141
C1863,933.4755175260946,998.698755924154,733.0,65.2232383980595
C2489,789.2700514052106,810.8852883381018,950.0,21.615236932891207
C2620,1135.6006788160234,1217.4931073333973,1709.0,81.8924285173739
C1286,1115.0071103891619,1137.4277080556453,881.0,22.420597666483445
C1350,1283.3801219391976,1373.7188326839455,2315.0,90.33871074474791
C2393,1146.333593276648,1153.5819287496881,922.0,7.2483354730402425
C1017,1169.817978867145,1151.8187540483611,1246.0,17.999224818783887
C1065,857.5532445303324,907.9910247887984,1255.0,50.43778025846598
C1363,1606.4240748646848,1600.6102220056453,2550.0,5.813852859039571
C2496,1217.0974000660012,1203.5238476395239,1400.0,13.573552426477363
C1584,819.7434872219501,846.9925418207335,507.0,27.24905459878346
C2328,1290.7176213611854,1398.6404616975174,1374.0,107.922840336332
C2538,1319.7756114657252,1337.2669946869453,799.0,17.491383221220076
C1015,781.2277315435832,831.9693469941789,579.0,50.741615450595646
C1689,1017.2826870449782,936.327089354556,960.0,80.95559769042211
C2666,812.9657328041004,856.1810888931711,701.0,43.215356089070724
C2276,765.9111505825473,880.4945776484133,1159.0,114.58342706586598
C2055,873.9939214820138,777.7129758755958,723.0,96.28094560641796
C1268,806.5104304236776,835.9075822973113,934.0,29.397151873633675
C1448,1015.7367499646164,996.0408339195086,1284.0,19.695916045107765
C2565,788.7461040617069,809.7661738097427,1090.0,21.02006974803578
C2352,945.6016109084877,945.5641755119519,793.0,0.03743539653578409
C2137,869.5232116047915,829.870965525768,752.0,39.652246079023485
C1743,1053.7417104255937,1066.3837382324768,1653.0,12.642027806883107
C2377,1064.8884684937384,1110.5710480566258,579.0,45.68257956288744
C1136,782.3828534531358,791.7711401029969,763.0,9.38828664986113
C1700,979.0960095760252,986.815334228384,979.0,7.719324652358864
C2579,1009.771084128634,938.248424241445,751.0,71.52265988718898
C2618,1100.9447185879587,1066.112443370705,783.0,34.83227521725371
C1451,1116.9697435771252,1080.1852945881355,1044.0,36.78444898898965
C2086,1456.1809988703326,1504.6295284014361,1524.0,48.44852953110353
C2362,923.774618135533,857.4547170935577,196.0,66.3199010419753
C2446,1147.1539852758383,1140.7485271985342,1204.0,6.405458077304047
C1430,1189.6164810870614,1060.4439145679667,839.0,129.17256651909474
C1014,882.3004517174726,907.2749105629769,708.0,24.974458845504273
C2097,1067.1613301290238,987.3112257042935,995.0,79.85010442473026
C1368,836.8682644543203,854.6967576466803,861.0,17.828493192360042
C2361,908.2502932333903,969.5060269197933,1117.0,61.255733686403005
C1013,1080.4968089091406,1030.5446627518656,1665.0,49.95214615727491
C2046,1087.6708286925102,1135.590925681827,1306.0,47.92009698931679
C1916,780.0770838421379,797.3757461852339,752.0,17.298662343095998
C1036,1058.5980677077382,1060.382920266014,1279.0,1.7848525582758157
C1465,833.0630396939312,857.0933625388589,557.0,24.030322844927696
C1677,825.1496217787467,872.8624638244618,1101.0,47.71284204571509
C2082,845.209539064059,834.8923203579996,822.0,10.317218706059407
C1328,795.7037186329827,766.2070457468051,770.0,29.496672886177635
C2085,1320.0798948831398,1339.3504701783174,1595.0,19.27057529517765
C1310,975.4726098407781,929.6907926710143,1084.0,45.781817169763826
C2251,841.7010287742587,823.5953864470885,870.0,18.105642327170244
C1129,1519.2615860827552,1521.3326098714913,1668.0,2.0710237887360563
C2507,883.7791246540075,889.107419958739,763.0,5.328295304731455
C1724,1003.8339934172681,967.3781862052908,701.0,36.45580721197723
