code,num
C1072,723.0769540544954
C1128,1132.4269713795024
C1456,563.0275877109362
C1840,533.8279734730465
C1332,1236.4555568367518
C1563,1487.18505111793
C1794,1004.3504751758326
C1640,460.4888430928138
C1377,378.0804375827564
C2072,261.2405131864299
C1472,457.9827356365038
C1006,340.4857316590473
C1083,395.83324955288276
C1311,201.21549000158552
C2676,351.9070930812135
C2318,170.8136894911759
C1603,499.15687887560455
C2523,342.3744827259013
C2177,151.23821169286416
C2411,763.8563931391061
C2033,242.8187297923752
C1604,493.3100331881169
C2535,513.2689082500443
C1040,474.58168197686723
C2417,416.29364645782584
C1812,154.80409117939627
C2253,109.02694614552564
C1294,612.8654352771242
C1772,579.9123411050988
C2646,520.3075263030671
C1152,907.9928592676583
C2423,205.32231649090147
C1844,466.5495454036465
C1318,210.90861604330695
C1729,87.84960017911726
C1602,321.10718613097174
C1239,370.50743757806976
C1721,653.1191848686099
C1902,851.1255128522524
C1855,306.30650443710283
C2600,426.1681637128666
C1071,503.3237967716664
C2295,437.81254119312877
C1621,591.4410279602595
C1852,901.7487268948419
C2555,1417.6899112341807
C1297,438.99096746980507
C2323,568.5187518954187
C2215,359.5540663829614
C2112,406.81155703786044
C1830,927.5163181806932
C2602,251.2259616577029
C2608,1139.4978495005364
C1215,650.2998894334552
C2369,667.7175867380497
C1158,294.2744413258575
C1887,589.3354666925516
C1189,328.66569198064514
C1637,466.98804740617504
C1225,164.90901150472047
C2374,303.6011173498682
C2397,567.5367194260929
C1105,894.1949153694832
C1782,416.8309340093239
C1629,175.34159232948625
C1708,264.1188115711807
C2144,453.3632842234655
C1617,1032.1830390281093
C1149,491.84989658308564
C1323,371.9091091780949
C1064,564.5728547122235
C1019,294.06576725350084
C2269,674.2462496304597
C1416,810.0886176217308
C1250,785.3346593575743
C1741,515.4808010406608
C1016,693.5136069906611
C2675,
C2436,654.7505352709019
C2039,850.1385658459487
C1253,734.1284734033004
C2028,1220.6240830982413
C1166,322.97392332221756
C1135,275.70189887405564
C1216,335.37312894832235
C1593,261.86495588419507
C1826,272.7142331645635
C1827,438.9541231002459
C1564,289.8092258884843
C1495,970.5728156393853
C2653,884.0616973990948
C1392,530.1716073226563
C2128,303.67153609078207
C1282,595.599325538203
C1521,1023.2166442143201
C2076,1026.5167685363301
C1060,604.4964325296656
C2473,1042.363754051938
C2557,886.0885710881564
C1835,779.9271909416104
C2224,639.5041401897518
C2222,366.4249901951014
C2430,778.8881429712026
C2497,812.5984932419757
C1494,1135.4265428246217
C1457,535.3263997209266
C1525,1118.6845140821633
C1712,572.6053692008434
C2267,799.9613407382151
C1623,286.99300678232584
C2131,617.1086030449203
C2691,983.2066260193257
C1147,857.781985758767
C1692,844.9882838291169
C1570,799.7330055216605
C1474,196.62462892503328
C1633,133.60954021038083
C2113,507.80791745484566
C2175,758.0782497548275
C2303,1379.2673594260732
C2547,535.5963465539926
C2292,909.0995423183922
C1496,711.9835522170895
C1289,345.773996030917
C1849,766.7857378312124
C1003,260.71862449746425
C2268,440.15823118945326
C2551,631.2353225713248
C2688,98.95559680088962
C1030,126.68697409690913
C1327,
C2451,577.1117928100243
C1749,587.9710062873278
C1349,191.52462991857902
C2043,289.703447376401
C1229,266.37499862475573
C2363,435.6913711611968
C1414,466.3220611245748
C2174,473.84898117154574
C2091,125.45979139252535
C2335,
C1841,96.83491844710949
C2404,139.1500517827178
C1683,225.16354192491173
C1038,374.9891103827408
C2456,223.01891336591785
C1266,486.39396929818764
C2152,87.05908134701099
C1267,479.2430592111827
C2189,236.21829014632036
