단지코드,지역,단지명,도로명주소,전용면적,price
C1925,강원도,입암주공3단지아파트,강원도 강릉시 강변로 510,32.1,0
C1925,강원도,입암주공3단지아파트,강원도 강릉시 강변로 510,72.16,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,12.62,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,17.4,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,22.89,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,23.13,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,23.25,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,27.75,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,28.19,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,34.8,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,42.35,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,42.4,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,49.37,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,55.17,0
C1874,충청남도,공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,55.5,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,19.69,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,27.12,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,32.54,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,36.43,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,46.89,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,49.99,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,51.14,0
C2416,경상남도,김해구산주공1단지아파트,경상남도 김해시 가락로 222,317.17,0
C2621,대전광역시,대전둔산3,대전광역시 서구 월평북로 11,31.84,0
C2621,대전광역시,대전둔산3,대전광역시 서구 월평북로 13,31.84,0
C2621,대전광역시,대전둔산3,대전광역시 서구 월평북로 11,63.68,0
C2621,대전광역시,대전둔산3,대전광역시 서구 월평북로 13,63.68,0
C2621,대전광역시,대전둔산3,대전광역시 서구 월평북로 11,137.49,0
C2621,대전광역시,대전둔산3,대전광역시 서구 월평북로 13,137.49,0
C1616,대전광역시,법동 주공아파트3단지,대전광역시 대덕구 계족로663번길 34,38.0,0
