code,num
C1072,705.2376468030125
C1128,1084.9642588468002
C1456,550.0982880555862
C1840,466.5167630484881
C1332,1367.2803968008984
C1563,1575.978217814999
C1794,713.9517133710682
C1640,503.43504200185225
C1377,411.77106037868555
C2072,338.7368741409056
C1472,506.35280558588346
C1006,161.25568559108038
C1083,492.3932490254758
C1311,286.7287073427244
C2676,216.91820619254042
C2318,213.00571459714672
C1603,561.100189572084
C2523,260.18188463182247
C2177,183.6727825666157
C2411,622.357606752197
C2033,196.95615096027763
C1604,511.4349962138146
C2535,515.4367918325787
C1040,524.9988679904624
C2417,441.5089490993116
C1812,167.19493209857876
C2253,136.22723681481327
C1294,661.5153589276536
C1772,440.6068156299899
C2646,519.2289197384619
C1152,946.6670936043738
C2423,258.8117250273102
C1844,516.4766732142464
C1318,245.8604208256444
C1729,149.71060541403182
C1602,310.3039914497667
C1239,317.42349979865827
C1721,638.0864919962645
C1902,810.0635476975897
C1855,334.5424960769044
C2600,437.71842286997264
C1071,467.3259009080352
C2295,424.6099058464522
C1621,583.7919442326983
C1852,793.5505401240723
C2555,975.5952164336695
C1297,425.4490824837133
C2323,695.6687457379779
C2215,400.5648301556697
C2112,396.09067549806787
C1830,853.9152420710972
C2602,290.46887238358136
C2608,1017.347091280889
C1215,686.7301293594371
C2369,635.2712879941314
C1158,298.0320281365077
C1887,578.1015876061169
C1189,350.81686462260825
C1637,468.750485785358
C1225,235.0826316792027
C2374,347.48939518920366
C2397,543.4803458956135
C1105,738.0371187259565
C1782,421.2429685392614
C1629,268.95369723948676
C1708,321.9357751141547
C2144,487.1686410607209
C1617,868.7345927210813
C1149,478.7021380643072
C1323,292.4355594509436
C1064,560.4350349615898
C1019,348.15024957840853
C2269,559.6690287360511
C1416,913.8482020620274
C1250,870.600987535535
C1741,418.2505971643543
C1016,640.6481731263918
C2675,
C2436,807.273285336193
C2039,780.0290434844782
C1253,734.754686109354
C2028,1132.4483301700247
C1166,283.0493454677164
C1135,346.62389068146473
C1216,315.4513977132949
C1593,235.59490712197288
C1826,246.58173245948714
C1827,397.39765380842505
C1564,299.0472664228658
C1495,743.3172395655567
C2653,778.7129932532799
C1392,597.8404039799909
C2128,304.9051047772997
C1282,640.2860318825445
C1521,1033.6141186980096
C2076,585.7056035301865
C1060,654.921270448784
C2473,977.5811254894893
C2557,889.753556619539
C1835,775.0186734992487
C2224,925.0876021552956
C2222,300.605318542125
C2430,934.0593433919494
C2497,691.3664858954422
C1494,1121.853287488849
C1457,617.8328344924249
C1525,1024.6156716357564
C1712,597.4585116106019
C2267,843.4041576433578
C1623,287.02398015198656
C2131,581.646722509305
C2691,1165.84805733536
C1147,843.7713887373034
C1692,812.6922745921604
C1570,681.563161993887
C1474,166.03098105318313
C1633,326.48311776428284
C2113,561.4753947739409
C2175,849.9568729068071
C2303,1297.915365219329
C2547,570.8364485432443
C2292,768.136538565795
C1496,738.2210770530255
C1289,304.27499054039936
C1849,587.8615943865436
C1003,326.58150247970025
C2268,473.84787260018663
C2551,679.7899842934357
C2688,170.77189667539128
C1030,50.12768553261728
C1327,
C2451,594.0958918219825
C1749,511.42475980451917
C1349,321.8663064285923
C2043,336.75432952589733
C1229,315.8170902165859
C2363,443.6144980552677
C1414,404.4130527227414
C2174,455.9572228607733
C2091,168.09717700764816
C2335,
C1841,95.17356504456137
C2404,111.01347984418791
C1683,248.72366867152994
C1038,445.7998924125782
C2456,180.6955814992489
C1266,509.1063786048687
C2152,49.02720219366378
C1267,442.39737021477174
C2189,205.8404871950002
