iter	MAE
0	293.4083645
1	290.4720626
2	286.1347047
3	283.9153518
4	279.7536146
5	275.3332188
6	271.8516224
7	268.0703758
8	264.5657858
9	261.1331492
10	257.9827251
11	255.2000084
12	251.3060456
13	248.9506504
14	245.3049506
15	242.3916456
16	240.2334373
17	237.516883
18	233.9971761
19	230.5169533
20	228.0693751
21	225.0389427
22	221.9965023
23	218.8409659
24	216.2956527
25	213.7053828
26	211.7043019
27	208.8926119
28	207.0424434
29	204.9183713
30	202.4808963
31	199.6349884
32	197.0856244
33	194.9150578
34	191.4615242
35	189.0726405
36	187.1865121
37	184.6803534
38	182.888068
39	181.0400894
40	178.9120204
41	177.0655099
42	175.2845058
43	172.9904307
44	170.8289223
45	169.2674028
46	167.5882664
47	165.4564235
48	163.6183055
49	161.7376655
50	159.8573481
51	158.2605369
52	157.060545
53	155.3414141
54	153.4033237
55	152.6026359
56	151.672857
57	150.2211297
58	147.874738
59	146.5484781
60	145.3261679
61	143.8395874
62	142.4798678
63	140.952836
64	139.6564887
65	138.3403562
66	136.8191047
67	135.2533819
68	133.8627256
69	132.458074
70	131.0249789
71	130.0525527
72	128.560834
73	127.6622153
74	126.7031123
75	125.2989321
76	123.9333721
77	122.9599156
78	121.7105406
79	120.6333011
80	119.9217042
81	118.3347069
82	117.394053
83	115.7341192
84	114.1219516
85	113.3150992
86	112.4473872
87	111.5489619
88	110.6429356
89	110.1100075
90	108.8910538
91	107.9189589
92	106.8783465
93	106.1102272
94	105.095032
95	104.6471928
96	103.1672579
97	102.899616
98	102.1172167
99	100.8687594
100	100.5072755
101	99.84387505
102	99.31834267
103	98.05734941
104	97.31520345
105	96.68801575
106	95.78294707
107	95.02989657
108	94.40683571
109	93.59443394
110	92.90905211
111	91.76775088
112	90.91983117
113	90.56310915
114	89.70171683
115	88.98516922
116	88.63185853
117	87.83606414
118	87.26337371
119	86.59043895
120	85.9055972
121	84.91308983
122	84.25775736
123	83.60213201
124	83.22442087
125	82.62157126
126	82.0111533
127	81.33636564
128	81.14138605
129	80.67189071
130	79.90704831
131	79.24117405
132	78.83471519
133	78.36785966
134	77.80218301
135	77.5153512
136	76.9498674
137	76.79332446
138	76.06344011
139	75.52179719
140	74.8263715
141	73.97817966
142	73.77140997
143	73.14186144
144	72.80935865
145	72.47375573
146	72.10067312
147	71.70232274
148	71.1684048
149	70.81735697
150	70.61748621
151	70.22733258
152	69.74169616
153	69.20043658
154	68.96318754
155	68.31356689
156	68.11150662
157	67.58967679
158	67.36951086
159	66.98151872
160	66.34545595
161	65.61286786
162	65.42691634
163	65.11825581
164	64.81543419
165	64.70493228
166	64.27992002
167	63.92464589
168	63.3740926
169	62.55532249
170	62.29024606
171	62.13855924
172	61.93994139
173	61.41422594
174	61.16823743
175	60.82461329
176	60.53365802
177	60.19134436
178	59.89031188
179	59.49359661
180	59.20666984
181	58.87023091
182	58.47749375
183	58.0158565
184	57.5452283
185	57.36680614
186	56.89598714
187	56.68950011
188	56.40652332
189	55.7833506
190	55.4572409
191	55.23285486
192	54.7647132
193	54.34608153
194	54.09376895
195	53.47575437
196	53.24607885
197	52.78927592
198	52.61399023
199	52.08425469
200	51.8323267
201	51.6251373
202	51.14453591
203	50.89468324
204	50.66310263
205	50.39750445
206	50.0176875
207	49.76617979
208	49.69418219
209	49.42172111
210	48.98575758
211	48.4594464
212	48.12014755
213	47.90699871
214	47.59419911
215	47.43010101
216	47.01441977
217	46.71209355
218	46.3339175
219	46.02369682
220	45.66373558
221	45.49554741
222	45.18088056
223	44.63420311
224	44.42167853
225	44.17904966
226	43.98932516
227	43.89978446
228	43.66192131
229	43.50036948
230	43.30153156
231	43.07483873
232	43.01440514
233	42.70990687
234	42.38293665
235	42.06172387
236	41.8970855
237	41.70937135
238	41.38212443
239	41.06451322
240	40.67035239
241	40.62894289
242	40.15537034
243	39.83373953
244	39.58105268
245	39.42073097
246	39.2193668
247	38.8069178
248	38.61072313
249	38.36138245
250	38.17018155
251	37.87454128
252	37.69989903
253	37.57216011
