단지명,도로명주소,위도,경도
포항장량휴먼시아1단지,경상북도 포항시 북구 장량중앙로 17,129.382830666657,36.0918815296844
미수휴먼시아,경상남도 통영시 미우지해안로 107,128.39650457033545,34.8242265414328
도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,127.337381950462,36.3465657238409
호평마을 주공휴먼시아,경기도 남양주시 늘을3로 8,127.24077274083449,37.65839027630814
장신휴먼시아1단지,전라북도 익산시 오산면 선화로4길 66,126.93116600505441,35.94671124015283
장신휴먼시아2단지,전라북도 익산시 오산면 선화로4길 24-9,126.931972402425,35.9485646523394
백현마을 3단지,경기도 성남시 분당구 동판교로 92,127.117716491702,37.3898939851789
LH대전노은3지구4단지,대전광역시 유성구 지족로148번길 40,127.305031093423,36.3771989186989
횡성휴먼시아,강원도 횡성군 횡성읍 앞들서2로 34,127.981035991168,37.4882886027589
광주백운 휴먼시아3단지,광주광역시 남구 백운로 100,126.90695231720613,35.141552996216745
광주백운 휴먼시아2단지,광주광역시 남구 독립로80번길 8,126.902822600905,35.1401129837952
강릉교동 주공2차아파트,강원도 강릉시 가작로 85,128.88563180131382,37.76945080486319
강릉송정주공아파트,강원도 강릉시 하평길 55,128.9153581539591,37.77048643738398
입암주공3단지아파트,강원도 강릉시 강변로 510,128.917042175361,37.7648143932297
거제장평 주공3단지아파트,경상남도 거제시 장평2로 36,128.608327564331,34.8860843303134
석문국가산단 2단지,충청남도 당진시 석문면 해명1로 200,126.58847878766245,36.98098165179281
공주옥룡주공1차아파트,충청남도 공주시 우금티로 709-12,127.134080250622,36.4481793066215
기장교리 주공아파트,부산광역시 기장군 기장읍 차성로397번길 7,129.21290213879686,35.25432472707646
김해구산주공1단지아파트,경상남도 김해시 가락로 222,128.87624540581,35.2461443032142
젤미마을 주공2단지,경상남도 김해시 능동로 76,128.802133835456,35.197495878045
구봉마을8-2단지,대전광역시 서구 관저로 84,127.33083559370898,36.29688931630358
느리울마을아파트 13단지,대전광역시 서구 관저동로 42,127.3424999499111,36.29625448135917
대전둔산3,대전광역시 서구 월평북로 13,,
대전문화주공1단지,대전광역시 중구 보문산로161번길 55,127.39650439044024,36.30811656235957
대전반석마을4단지,대전광역시 유성구 반석로 46,127.30987313244043,36.391214098452615
법동 주공아파트3단지,대전광역시 대덕구 계족로663번길 34,127.425592056753,36.3712393898
대전산내주공아파트,대전광역시 동구 산내로 1352-25,127.468358514393,36.2846386541322
중촌주공2단지,대전광역시 중구 대전천서로 695,127.41017978417506,36.34449331985526
천동휴먼시아1단지,대전광역시 동구 대전로542번길 78,127.446682505255,36.3147849625444
대전판암3,대전광역시 동구 옥천로 152-9,127.45809050894138,36.316486470413636
대전판암4,대전광역시 동구 동부로 56-7,127.46005841781327,36.32164806366987
동해천곡 주공5차,강원도 동해시 동굴로 15,129.10547385488312,37.51630337948946
삼계 주공2단지아파트,경상남도 창원시 마산회원구 내서읍 삼계2길 24,128.503017070691,35.2290093849548
중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,128.499758114294,35.2431452738987
밀양가곡1,경상남도 밀양시 중앙로 47,128.77194139282284,35.472190699350605
밀양삼문휴먼시아아파트,경상남도 밀양시 미리벌중앙로 35,128.7504300794616,35.48027731761656
보령동대 휴먼시아4단지,충청남도 보령시 한내로터리길 92,126.611774292734,36.3477919640226
명천주공2단지,충청남도 보령시 주공로 50,126.60309966660343,36.34250871469325
부산금곡주공1단지,부산광역시 북구 효열로 268,129.019068437773,35.2680284599656
부산금곡주공2단지,부산광역시 북구 금곡대로616번길 10-9,129.015268265395,35.2608213096063
부산금곡주공4단지,부산광역시 북구 효열로 76,129.014872618435,35.2528292248189
부산금곡 주공7단지,부산광역시 북구 금곡대로550번길 23,129.01322274060433,35.25736789317972
동삼주공2단지,부산광역시 영도구 상리로 1,129.068630778137,35.0865844087237
동삼주공1단지,부산광역시 영도구 동삼북로 2,129.067440272291,35.0832451580318
덕천주공2단지,부산광역시 북구 덕천로 74,129.015499552443,35.2090908434614
부산만덕3,부산광역시 북구 함박봉로140번길 21,129.034555520206,35.2039489959096
모라주공아파트1단지,부산광역시 사상구 모라로110번길 121,128.99818543316297,35.18486073812174
주공아파트,부산광역시 해운대구 신반송로 200,129.158669027927,35.2323331353141
율리마을 주공아파트,부산광역시 북구 화명신도시로 255,129.01063912194164,35.245866116139965
부여쌍북2단지,충청남도 부여군 부여읍 성왕로328번길 15,126.92509051848471,36.28185643350585
사천벌리1주공,경상남도 사천시 주공1길 50,128.08813440928148,34.9399392364532
동홍 주공3단지,제주특별자치도 서귀포시 태평로512번길 9,126.57391795605078,33.249795825732235
석림주공3단지,충청남도 서산시 석림4로 83,126.46374936166296,36.77152909040026
속초청초주공아파트,강원도 속초시 먹거리길 17,128.5749443493719,38.197052460933755
울산교동주공아파트,울산광역시 울주군 삼남읍 봉화마을길 9,129.113577925583,35.5603010031757
화봉휴먼시아2단지,울산광역시 북구 화산로 36,129.366253116155,35.5947956000564
원주문막주공아파트,강원도 원주시 문막읍 원문로 1684,127.82658803123061,37.31709887029712
