단지코드,총세대수,전용면적,전용면적별세대수,공가수,임대보증금,임대료,지하철역,버스정류장,단지내주차면수,등록차량수,연면적,위도,경도,subway_dist,환승역 수,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율,지역,자격유형,공급유형,전용면적_std,전용면적별세대수_std,임대보증금_std,임대료_std,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,세종특별자치시,울산광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,상가,아파트,공공임대(50년),공공임대(분납),국민임대,영구임대,임대상가,행복주택,"공공임대(5년,10년)",A,C,D,E,G,H,I,J,K,L,M,N,등록차량수/총세대수,등록차량수/연면적,임대보증금/임대료,km1,km2,geometry,km4
C1005,1144.0,54.35999999999999,381.3333333333333,16.0,17107666.666666668,222046.66666666666,0.0,8.0,950.0,376.0,5.688,127.11926815857822,36.8209585899009,0.025748676877391897,1.0,40542.0,2.82,1.01,2.102865540044085,1.0074740954645829,1.0220946198976408,0.6469879518072289,0.2752207587193527,0.2915001726604509,0.3995609491391643,0.033718119481032004,경기도,B,국민임대,4.5783949152514145,192.05554752032893,1441397.3544215113,21445.480487350556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.32867132867132864,66.10407876230661,77.04536583901283,1,1,POINT (127.1192681585782 36.8209585899009),0
C1013,1308.0,46.141999999999996,261.6,16.0,24924800.0,134726.0,0.0,6.0,1119.0,1665.0,7272.904,126.871506562277,35.170156786886395,0.018665139884399964,1.0,16229.0,2.57,0.9,1.6394671107410492,0.9916573971078975,0.8645935357492653,0.6268656716417911,0.24296013309507672,0.2206543841271797,0.46922176350976647,0.067163719267977,전라북도,A,국민임대,4.336925178049536,163.1235727906914,3233078.285473459,17036.885865673925,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2729357798165137,0.228931936953932,185.00363701141578,1,1,POINT (126.871506562277 35.17015678688639),0
C1015,961.0,46.0475,120.125,28.0,15871250.0,136192.5,0.0,3.0,928.0,579.0,8215.07,128.83370771142498,35.1516949304858,0.08578685839676362,1.0,34231.0,2.1200000000000006,1.16,2.998348472336912,1.2686992761570524,1.2020020917376364,0.7196620583717357,0.2018930209459262,0.302153019193129,0.43054541205340197,0.0654085478075428,경기도,A,국민임대,9.457327846701732,112.28463512749323,6456388.746261887,47470.65913352614,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6024973985431842,0.07048022719222113,116.53541861703104,1,1,POINT (128.833707711425 35.1516949304858),0
C1017,1460.0,36.836666666666666,486.6666666666667,27.0,19917000.0,229706.66666666666,0.0,2.0,1534.0,1246.0,34.76,127.346075091304,36.3404380940168,0.014065851556597071,1.0,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625617,0.2287521815008726,0.2761125654450261,0.4424520069808027,0.052683246073298405,대전광역시,A,국민임대,10.055915340402052,141.38363884599,11884282.09863768,70281.09442327527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8534246575342466,35.8457997698504,86.70623403761319,1,1,POINT (127.346075091304 36.3404380940168),0
C1022,389.0,46.9,97.25,4.0,24665000.0,221980.0,0.0,4.0,352.0,450.0,4287.225,127.14957125471511,37.295462546196774,0.02132132720584792,1.0,39189.0,2.63,0.94,1.7811550151975684,1.01142313184198,0.9059711007224821,0.7492795389048992,0.2026589093878384,0.21567276531679802,0.4577560029600143,0.1239123223353492,강원도,A,국민임대,0.0,40.202611855450385,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.1568123393316196,0.10496300054230882,111.1136138390846,1,1,POINT (127.1495712547151 37.29546254619677),0
C1024,680.0,78.423,47.7,2.0,103772700.0,970947.0,0.0,3.0,877.0,957.0,7321.5700000000015,127.101393788617,37.47483527984661,0.010902747772451234,2.0,43782.0,2.4400000000000004,0.9000000000000001,1.8683876428269148,0.8759961746891936,0.9133953864832052,0.7503100454733361,0.20250331186332277,0.26883194006669414,0.4319583390434425,0.0967064090265405,광주광역시,A,국민임대,8.165700691170224,46.20738276749964,16163394.700165352,121856.4295527049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.4073529411764707,0.13070967019368793,106.87782134349249,1,1,POINT (127.101393788617 37.47483527984661),0
C1027,452.0,42.720000000000006,90.4,21.0,22218800.0,273760.0,0.0,5.0,461.0,207.0,6981.99,128.992766699177,35.3099575895724,0.022309028881571345,1.0,120892.0,2.52,0.9800000000000001,2.3134161886551943,0.9854089484183529,0.9795505792706634,0.7042761463163318,0.2359461337392052,0.2881414816530457,0.4211858518346954,0.0547265327730536,강원도,A,국민임대,5.862738268079177,66.30837051232672,6916599.178787217,47274.99550502358,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4579646017699115,0.029647707888438683,81.16160140268849,1,1,POINT (128.992766699177 35.3099575895724),0
C1032,946.0,51.64333333333334,157.66666666666666,6.0,27777166.666666668,184135.0,1.0,2.0,986.0,316.0,9075.983,127.446682505255,36.3147849625444,0.011944730078495834,1.0,24779.0,2.59,0.9699999999999999,1.8623507228158391,1.0471662228984402,0.9542709232096636,0.7083641746854182,0.2326163283425481,0.2172000484281044,0.4570402356834416,0.0931433875459058,강원도,A,공공임대(50년),7.87467247996173,110.83260651390756,7104101.362358695,44448.80954536353,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.33403805496828753,0.034817165259124,150.85218272825193,1,1,POINT (127.446682505255 36.3147849625444),0
C1036,742.0,46.87285714285714,106.0,13.0,34634571.428571425,233627.14285714287,0.0,3.0,1016.0,1279.0,7011.046,127.06898188512602,37.2751194133424,0.018506050855249926,1.0,24064.5,2.535,0.9850000000000001,2.1911073108165877,1.0403848957573991,0.9666383941193102,0.7261146496815287,0.20806582310041757,0.2907810259926447,0.43358474100853955,0.06756840989839798,강원도,C,영구임대,5.093445835207288,58.66856057549052,8475732.295936497,40409.22118951141,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.7237196765498652,0.18242641682853028,148.24720708821746,1,1,POINT (127.068981885126 37.2751194133424),0
C1039,790.0,41.96363636363636,71.81818181818181,13.0,73676272.72727273,171274.54545454544,0.0,3.0,673.0,645.0,13708.410000000002,127.02185036066295,37.4583702373696,0.020097609067428336,1.0,43690.0,2.43,0.91,1.949715370018975,0.9415349143610012,0.8855630413859482,0.7585215605749486,0.1837491416800183,0.2698329137102311,0.4484092469672695,0.09800869764248109,경상남도,A,국민임대,11.859927717087716,57.25000992457238,85452438.68619655,136827.07687907657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.8164556962025317,0.047051408587866855,430.1647540896594,1,1,POINT (127.021850360663 37.4583702373696),0
