code,num
C1072,682.597167
C1128,1180.862977
C1456,530.1716718
C1840,528.1426385
C1332,1172.791604
C1563,1684.516236
C1794,929.4215266
C1640,429.646043
C1377,377.3616756
C2072,292.0749002
C1472,474.4034112
C1006,265.2148703
C1083,455.8432783
C1311,286.2922107
C2676,304.9951354
C2318,226.444716
C1603,487.0641543
C2523,358.3369062
C2177,135.7288499
C2411,764.0483121
C2033,280.4327557
C1604,425.4962909
C2535,441.6182143
C1040,431.5412244
C2417,320.734192
C1812,172.6738968
C2253,107.2471754
C1294,594.3305625
C1772,500.9364013
C2646,493.4281101
C1152,926.0641919
C2423,176.4568917
C1844,478.622119
C1318,207.8461122
C1729,86.01167985
C1602,320.0893999
C1239,351.0978379
C1721,641.0592149
C1902,918.2929549
C1855,234.4164461
C2600,391.5760199
C1071,479.1026577
C2295,462.7072909
C1621,588.5846713
C1852,926.4612971
C2555,1496.535377
C1297,440.7032728
C2323,621.7439372
C2215,419.1568081
C2112,395.3671857
C1830,873.4722241
C2602,279.5923056
C2608,1202.642504
C1215,707.7973074
C2369,632.0381841
C1158,259.9902283
C1887,598.2250222
C1189,263.5841529
C1637,410.343537
C1225,115.8582118
C2374,301.5512595
C2397,577.8391904
C1105,962.4821658
C1782,441.654481
C1629,179.603829
C1708,255.6736747
C2144,374.7217286
C1617,903.7666943
C1149,462.1531441
C1323,360.7476332
C1064,675.0419519
C1019,286.2434198
C2269,679.0092009
C1416,794.189633
C1250,816.3424409
C1741,456.2482306
C1016,709.1696699
C2675,
C2436,536.9998453
C2039,874.3799041
C1253,894.6236125
C2028,1085.631743
C1166,295.4056667
C1135,275.7149389
C1216,328.1991118
C1593,242.7365808
C1826,287.0001917
C1827,434.2448846
C1564,290.0174874
C1495,963.7882005
C2653,851.3871889
C1392,582.4688154
C2128,291.9431289
C1282,687.4026169
C1521,1040.821963
C2076,1098.634595
C1060,590.3693517
C2473,964.7502883
C2557,870.3730022
C1835,798.7096551
C2224,652.5816535
C2222,385.5597465
C2430,770.9623761
C2497,824.6501373
C1494,1181.717724
C1457,549.3037572
C1525,1068.642852
C1712,545.4976019
C2267,878.3180232
C1623,293.9913386
C2131,591.5528073
C2691,1128.457004
C1147,849.0339889
C1692,876.4962804
C1570,775.8414136
C1474,162.945812
C1633,109.1741995
C2113,597.5437856
C2175,810.9897599
C2303,1438.889247
C2547,551.2976879
C2292,916.3568542
C1496,699.7396618
C1289,302.1222479
C1849,843.9158235
C1003,272.5029714
C2268,378.752094
C2551,584.1761967
C2688,77.35042612
C1030,91.14877899
C1327,
C2451,543.2076344
C1749,558.7011456
C1349,238.5214075
C2043,248.893792
C1229,277.5251489
C2363,411.06266
C1414,420.7755322
C2174,499.0940544
C2091,127.3394298
C2335,
C1841,89.55025262
C2404,129.2948661
C1683,242.6207471
C1038,298.465794
C2456,231.8749732
C1266,467.1348509
C2152,106.9534198
C1267,350.7475258
C2189,266.0871766
